COUNTS - 2017 - annual entries & exits,,,,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,[ Weights,253,52,59,253,52,59,],,,,,,
Counts by station,,,,,,,,,,Annual,,,,,,
 ,,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,,,
nlc,Station,Borough,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,,,
665,Old Street,Islington, ,42971,26666,18023,41107,31508,17321,26.38,,,,,,
667,Osterley,Hounslow, ,3452,2532,1787,3408,2291,1686,2.19,,,,,,
668,Oval,Lambeth, ,11909,8303,5763,11272,7631,5485,7.36,,,,,,
669,Oxford Circus,City of Westminster, ,121364,103026,63185,136405,113894,65547,84.09,,,,,,
670,Paddington,City of Westminster, ,78992,48872,41733,76087,46671,36560,48.82,,,,,,
671,Park Royal,Ealing, ,3241,2138,1477,3221,2097,1391,2.02,,,,,,
672,Parsons Green,Hammersmith and Fulham, ,11793,6549,3870,10566,5924,3847,6.76,,,,,,
673,Perivale,Ealing, ,4207,2608,1616,3942,2401,1591,2.51,,,,,,
674,Piccadilly Circus,City of Westminster, ,59266,66956,40514,56959,65289,36412,40.82,,,,,,
776,Pimlico,City of Westminster, ,18185,10677,8159,17077,10280,8112,10.97,,,,,,
675,Pinner,Harrow, ,5896,2947,1867,5615,2797,1766,3.43,,,,,,
676,Plaistow,Newham, ,9930,6676,4821,9429,6084,4795,6.13,,,,,,
677,Preston Road,Brent, ,6315,3557,2656,5399,3292,2556,3.63,,,,,,
678,Putney Bridge,Hammersmith and Fulham, ,8283,6549,3856,8585,6106,3921,5.38,,,,,,
680,Queen's Park,Brent, ,9409,6382,4651,8423,5362,4298,5.65,,,,,,
679,Queensbury,Brent, ,7534,4941,3248,7372,4646,3116,4.65,,,,,,
681,Queensway,City of Westminster, ,11823,12040,9727,12303,12466,9693,8.52,,,,,,
682,Ravenscourt Park,Hammersmith and Fulham, ,5336,3061,2127,5132,2900,2176,3.21,,,,,,
683,Rayners Lane,Harrow, ,6991,4352,2955,6986,4145,2910,4.32,,,,,,
684,Redbridge,Redbridge, ,4737,3633,2523,4378,3134,2295,2.94,,,,,,
685,Regent's Park,City of Westminster, ,5675,3012,2035,6202,3595,2428,3.61,,,,,,
686,Richmond,Richmond,A,11845,13954,7259,12226,12874,7072,8.33,,,,,,
687,Rickmansworth,Three Rivers, ,4966,2059,1190,4381,1888,1139,2.71,,,,,,
688,Roding Valley,Epping Forest,A,618,215,117,704,178,112,0.37,,,,,,
690,Royal Oak,City of Westminster, ,4309,2687,1941,4048,2540,1990,2.62,,,,,,
691,Ruislip,Hillingdon, ,3187,2193,1269,3186,2159,1237,1.99,,,,,,
692,Ruislip Gardens,Hillingdon, ,2138,1138,651,1718,962,638,1.16,,,,,,
693,Ruislip Manor,Hillingdon, ,3509,2072,1051,3231,1892,1104,2.04,,,,,,
694,Russell Square,Camden, ,18960,12688,9990,16656,12317,9299,11.45,,,,,,
698,Seven Sisters,Haringey, ,28355,23861,17424,26646,22212,16762,18.33,,,,,,
700,Shepherd's Bush (Cen),Hammersmith and Fulham, ,35840,31455,20749,31808,28881,19340,22.62,,,,,,
775,Shepherd's Bush (H&C),Hammersmith and Fulham, ,5846,5077,3084,5424,4628,3203,3.73,,,,,,
702,Sloane Square,Kensington and Chelsea, ,27847,18087,12250,27104,18207,12148,17.23,,,,,,
703,Snaresbrook,Redbridge, ,5596,2776,1754,4055,2562,1753,2.93,,,,,,
704,South Ealing,Ealing, ,5789,4409,2847,5650,3988,2805,3.66,,,,,,
